"Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Do.Not.Call","Converted","TotalVisits","Time.on.Web","Page.Views.Per.Visit","Last.Activity","Country","Specialization","Hear.About","Occupation","Tags","Lead.Quality","Lead.Profile","City","Asymmetrique.Activity.Index","Asymmetrique.Profile.Index","Asymmetrique.Activity.Score","Asymmetrique.Profile.Score","Last.Notable.Activity","Lead.Score","Lead.Type"
648798,"API","Google","No","No",0,6,692,2,"Olark Chat Conversation","India","Marketing Management","Select","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","02.Medium","02.Medium",14,16,"Modified",0,0
648765,"API","Google","No","No",1,2,26,1,"Email Opened","India","Select","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","02.Medium","02.Medium",14,15,"Modified",51,1
648707,"API","Organic Search","No","No",0,4,133,4,"Email Opened","India","IT Projects Management","Other","Unemployed","Will revert after reading the email","Low in Relevance","Select","Select","02.Medium","02.Medium",13,15,"Email Opened",66,1
648706,"API","Referral Sites","Yes","No",0,7,876,3.5,"Email Bounced","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",13,13,"Email Bounced",0,0
648700,"Landing Page Submission","Direct Traffic","No","No",0,6,263,6,"Email Opened","India","Human Resource Management","Select","Student","Already a student","Worst","Student of SomeSchool","Mumbai","01.High","01.High",17,18,"Email Opened",1,0
648670,"Landing Page Submission","Direct Traffic","No","No",1,3,1826,3,"SMS Sent","India","Operations Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","02.Medium","01.High",15,17,"SMS Sent",86,1
648641,"API","Direct Traffic","No","No",0,10,21,3.33,"Email Opened","India","Select","Other","Unemployed","Ringing","Might be","Potential Lead","Tier II Cities","02.Medium","02.Medium",14,15,"Email Opened",15,0
648639,"Landing Page Submission","Organic Search","No","No",1,5,957,5,"SMS Sent","India","Banking, Investment And Insurance","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities","02.Medium","02.Medium",15,16,"SMS Sent",96,1
648623,"API","Direct Traffic","Yes","No",0,4,160,2,"Email Bounced","India","Supply Chain Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Thane & Outskirts","02.Medium","02.Medium",15,15,"Modified",37,0
648612,"Landing Page Submission","Direct Traffic","No","No",0,6,1026,6,"Email Opened","India","Healthcare Management","Online Search","Unemployed","Ringing","High in Relevance","Select","Thane & Outskirts","02.Medium","02.Medium",13,14,"Email Opened",13,0
648605,"Landing Page Submission","Google","No","No",1,4,776,4,"Email Opened","India","Marketing Management","Multiple Sources","Unemployed","Closed by Horizzon","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,20,"Email Opened",84,1
648588,"Landing Page Submission","Google","No","No",0,2,121,2,"Email Opened","India","Banking, Investment And Insurance","Multiple Sources","Unemployed","switched off","Not Sure","Select","Thane & Outskirts","02.Medium","01.High",14,17,"Email Opened",1,0
648540,"Landing Page Submission","Direct Traffic","No","No",1,2,330,2,"Email Opened","India","Supply Chain Management","Select","Unemployed","Ringing","Not Sure","Select","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Email Opened",0,0
648538,"API","Referral Sites","No","No",0,6,462,6,"Page Visited on Website","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Select","Select","03.Low","02.Medium",12,13,"Modified",0,0
648526,"Landing Page Submission","Google","No","No",1,4,634,4,"SMS Sent","India","Operations Management","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities","02.Medium","02.Medium",14,16,"SMS Sent",96,1
648518,"Landing Page Submission","Google","No","No",0,2,153,2,"Converted to Lead","India","Business Administration","Online Search","Working Professional","Interested in other courses","Low in Relevance","Potential Lead","Other Cities","02.Medium","01.High",14,18,"Modified",32,0
648494,"API","Direct Traffic","No","No",0,3,129,3,"Email Opened","India","Operations Management","Select","Unemployed","Ringing","Not Sure","Select","Mumbai","02.Medium","02.Medium",13,16,"Email Opened",0,0
648488,"API","Direct Traffic","No","No",0,1,126,1,"Converted to Lead","India","Select","Select","Unemployed","wrong number given","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Modified",0,0
648466,"API","Organic Search","No","No",0,1,225,1,"Converted to Lead","India","Human Resource Management","Online Search","Unemployed","Interested  in full time MBA","Not Sure","Select","Mumbai","03.Low","02.Medium",11,15,"Modified",0,0
648437,"API","Google","No","No",0,2,1366,2,"Converted to Lead","India","International Business","Select","Unemployed","Busy","Might be","Select","Select","02.Medium","02.Medium",14,15,"Modified",36,0
648434,"Landing Page Submission","Organic Search","No","No",0,3,866,3,"SMS Sent","India","Business Administration","Select","Unemployed","Interested in other courses","Worst","Select","Other Cities of Maharashtra","03.Low","01.High",11,17,"Modified",0,0
648419,"Landing Page Submission","Direct Traffic","No","No",0,4,1371,4,"Email Opened","India","Operations Management","Select","Unemployed","wrong number given","Might be","Select","Other Metro Cities","02.Medium","02.Medium",14,16,"Email Opened",9,0
648386,"API","Referral Sites","No","No",1,4,1521,4,"SMS Sent","India","Select","Select","Unemployed","Interested in other courses","Not Sure","Select","Select","02.Medium","02.Medium",14,13,"SMS Sent",34,0
648361,"Landing Page Submission","Referral Sites","No","No",1,4,1653,2,"Page Visited on Website","India","Business Administration","Multiple Sources","Unemployed","Closed by Horizzon","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,18,"Page Visited on Website",81,1
648322,"Landing Page Submission","Google","No","No",0,5,1362,5,"Email Opened","India","International Business","Online Search","Unemployed","Ringing","Not Sure","Other Leads","Thane & Outskirts","02.Medium","01.High",13,17,"Email Opened",4,0
648314,"Landing Page Submission","Google","No","No",0,2,539,2,"Unreachable","India","International Business","Other","Unemployed","switched off","Not Sure","Select","Mumbai","02.Medium","01.High",13,18,"Modified",0,0
648310,"Landing Page Submission","Google","No","No",0,3,359,3,"Email Opened","India","Marketing Management","Online Search","Unemployed","switched off","Might be","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",9,0
648293,"Landing Page Submission","Google","No","No",0,4,75,4,"Email Link Clicked","India","Operations Management","Online Search","Unemployed","Ringing","Worst","Select","Thane & Outskirts","02.Medium","01.High",13,17,"Modified",0,0
648290,"API","Referral Sites","No","No",1,2,848,2,"Converted to Lead","India","Marketing Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Select","02.Medium","02.Medium",14,15,"Modified",59,1
648243,"Landing Page Submission","Organic Search","No","No",0,4,35,2,"Email Opened","India","Human Resource Management","Select","Unemployed","Ringing","Not Sure","Other Leads","Thane & Outskirts","03.Low","01.High",12,17,"Email Opened",4,0
648236,"Landing Page Submission","Direct Traffic","No","No",1,2,1744,2,"Email Opened","India","Media and Advertising","Select","Unemployed","Interested  in full time MBA","Not Sure","Select","Mumbai","02.Medium","01.High",15,17,"Email Opened",8,0
648231,"Landing Page Submission","Google","No","No",1,5,1417,5,"SMS Sent","India","Select","Student of SomeSchool","Unemployed","Will revert after reading the email","Might be","Select","Thane & Outskirts","02.Medium","01.High",14,17,"SMS Sent",86,1
648219,"Landing Page Submission","Google","No","No",0,2,277,2,"Converted to Lead","India","IT Projects Management","Online Search","Unemployed","Interested in other courses","Not Sure","Select","Mumbai","02.Medium","02.Medium",13,15,"Modified",0,0
648199,"Landing Page Submission","Google","No","No",0,7,148,3.5,"SMS Sent","India","Rural and Agribusiness","Select","Working Professional","Will revert after reading the email","Low in Relevance","Select","Other Cities","02.Medium","02.Medium",13,13,"Modified",69,1
648191,"Landing Page Submission","Google","No","No",1,2,588,2,"Email Opened","India","E-Business","Student of SomeSchool","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,20,"Email Opened",74,1
648180,"API","Google","No","No",0,1,803,1,"Converted to Lead","India","International Business","Select","Working Professional","Already a student","Might be","Select","Thane & Outskirts","01.High","02.Medium",16,15,"Modified",23,0
648146,"API","Google","No","No",0,1,20,1,"Converted to Lead","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Thane & Outskirts","03.Low","02.Medium",11,15,"Modified",7,0
648136,"Landing Page Submission","Organic Search","No","No",0,6,562,6,"Unreachable","India","Human Resource Management","Select","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","01.High",14,18,"Modified",0,0
648125,"API","Google","No","No",0,2,343,2,"Email Opened","India","Marketing Management","Select","Unemployed","number not provided","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",0,0
648109,"Landing Page Submission","Google","No","No",0,6,240,6,"Email Opened","India","Retail Management","Student of SomeSchool","Unemployed","Will revert after reading the email","Worst","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",50,0
648086,"API","Direct Traffic","Yes","No",0,20,808,2.86,"Email Bounced","India","Supply Chain Management","Select","Unemployed","Ringing","Might be","Select","Other Cities","02.Medium","02.Medium",15,14,"Email Bounced",0,0
648081,"Landing Page Submission","Google","No","No",1,6,1712,6,"Unreachable","India","IT Projects Management","Word Of Mouth","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities","02.Medium","02.Medium",15,15,"Unreachable",84,1
648066,"Landing Page Submission","Google","No","No",0,3,174,3,"Unreachable","India","Human Resource Management","Online Search","Unemployed","switched off","Might be","Select","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Modified",1,0
648060,"Landing Page Submission","Google","No","No",0,5,343,2.5,"Email Opened","India","Finance Management","Online Search","Unemployed","switched off","Not Sure","Select","Other Metro Cities","02.Medium","02.Medium",14,16,"Email Opened",1,0
648015,"Landing Page Submission","Google","No","No",0,3,68,3,"Page Visited on Website","India","Banking, Investment And Insurance","Social Media","Unemployed","Interested  in full time MBA","Not Sure","Select","Mumbai","02.Medium","01.High",15,18,"Modified",0,0
647971,"Landing Page Submission","Direct Traffic","No","No",1,3,1118,3,"Email Opened","India","Travel and Tourism","Select","Unemployed","Lost to EINS","Might be","Select","Mumbai","02.Medium","02.Medium",13,16,"Email Opened",77,1
647941,"Landing Page Submission","Direct Traffic","No","No",1,1,166,1,"Converted to Lead","India","IT Projects Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Mumbai","02.Medium","01.High",15,17,"Modified",59,1
647939,"Landing Page Submission","Direct Traffic","No","No",0,2,253,2,"Email Opened","India","Business Administration","Select","Unemployed","Ringing","Might be","Select","Other Metro Cities","02.Medium","02.Medium",13,16,"Email Opened",8,0
647930,"API","Google","No","No",1,2,1014,1,"SMS Sent","India","Select","Select","Unemployed","Ringing","Low in Relevance","Select","Select","01.High","02.Medium",16,15,"SMS Sent",41,0
647918,"API","Google","No","No",1,2,43,1,"Email Opened","India","Select","Select","Unemployed","Closed by Horizzon","Low in Relevance","Select","Select","02.Medium","02.Medium",15,15,"Modified",69,1
647916,"Landing Page Submission","Google","No","No",0,5,1176,5,"Email Opened","India","Human Resource Management","Multiple Sources","Unemployed","Graduation in progress","Not Sure","Select","Mumbai","03.Low","01.High",10,18,"Email Opened",9,0
647903,"Landing Page Submission","Google","No","No",0,7,247,3.5,"Form Submitted on Website","India","Marketing Management","Other","Unemployed","Will revert after reading the email","Might be","Other Leads","Mumbai","02.Medium","01.High",13,18,"Modified",56,1
647902,"Landing Page Submission","Google","No","No",0,4,48,2,"SMS Sent","India","Finance Management","Online Search","Unemployed","Already a student","Not Sure","Other Leads","Mumbai","02.Medium","01.High",14,18,"SMS Sent",44,0
647851,"API","Google","No","No",1,2,682,2,"SMS Sent","India","Select","Select","Unemployed","switched off","Might be","Select","Select","02.Medium","02.Medium",15,15,"SMS Sent",36,0
647829,"API","Google","No","No",0,4,161,1,"Olark Chat Conversation","India","Supply Chain Management","Online Search","Unemployed","Ringing","Worst","Potential Lead","Other Metro Cities","02.Medium","02.Medium",15,15,"Modified",0,0
647818,"Landing Page Submission","Direct Traffic","No","No",0,43,57,3.91,"Email Opened","India","Marketing Management","Online Search","Unemployed","Not doing further education","Not Sure","Other Leads","Thane & Outskirts","03.Low","01.High",11,17,"Email Opened",15,0
647770,"API","Referral Sites","Yes","No",0,3,1198,1.5,"Unsubscribed","India","Human Resource Management","Select","Working Professional","Lost to EINS","Might be","Select","Mumbai","02.Medium","02.Medium",13,13,"Unsubscribed",84,1
647759,"Landing Page Submission","Google","No","No",1,7,1387,1.4,"Page Visited on Website","India","Finance Management","Online Search","Unemployed","Closed by Horizzon","Not Sure","Select","Thane & Outskirts","02.Medium","01.High",15,17,"Page Visited on Website",60,1
647711,"API","Google","No","No",1,3,1804,3,"SMS Sent","India","Select","Select","Unemployed","Already a student","Might be","Select","Select","02.Medium","02.Medium",15,15,"SMS Sent",47,0
647697,"Landing Page Submission","Direct Traffic","Yes","No",0,2,153,2,"SMS Sent","India","Travel and Tourism","Select","Unemployed","Will revert after reading the email","High in Relevance","Select","Other Metro Cities","02.Medium","02.Medium",13,14,"Modified",43,0
647691,"API","Referral Sites","No","No",0,2,384,2,"Olark Chat Conversation","India","Marketing Management","Select","Unemployed","Interested in other courses","Not Sure","Potential Lead","Mumbai","02.Medium","02.Medium",14,13,"Modified",7,0
647689,"Landing Page Submission","Direct Traffic","No","No",1,4,1267,4,"Page Visited on Website","India","Marketing Management","Select","Unemployed","Busy","Not Sure","Other Leads","Other Cities","01.High","02.Medium",16,16,"Page Visited on Website",38,0
647667,"API","Referral Sites","No","No",0,2,491,2,"Converted to Lead","India","Finance Management","Select","Unemployed","Interested in other courses","Worst","Select","Mumbai","02.Medium","02.Medium",13,13,"Modified",0,0
647665,"API","Google","No","No",1,5,79,2.5,"Email Opened","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",0,0
647649,"API","Organic Search","No","No",0,4,287,4,"SMS Sent","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",14,15,"Modified",0,0
647606,"Landing Page Submission","Direct Traffic","No","No",0,1,353,1,"Converted to Lead","India","Finance Management","Select","Unemployed","Already a student","Not Sure","Select","Mumbai","01.High","01.High",16,18,"Modified",4,0
647600,"API","Google","No","No",1,2,371,2,"Email Opened","India","Select","Select","Unemployed","Ringing","Worst","Select","Select","01.High","02.Medium",16,15,"Email Opened",0,0
647591,"API","Organic Search","No","No",0,5,274,5,"Olark Chat Conversation","India","Select","Select","Unemployed","Not doing further education","Not Sure","Select","Select","03.Low","02.Medium",12,15,"Modified",1,0
647583,"Landing Page Submission","Direct Traffic","No","No",0,6,50,6,"Email Opened","India","IT Projects Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Mumbai","02.Medium","02.Medium",13,15,"Email Opened",67,1
647555,"Landing Page Submission","Direct Traffic","No","No",0,2,989,2,"Email Opened","India","E-Business","Online Search","Unemployed","Ringing","Not Sure","Select","Mumbai","01.High","01.High",16,18,"Email Opened",0,0
647517,"Landing Page Submission","Google","No","No",1,6,543,6,"Email Opened","India","Marketing Management","Social Media","Unemployed","Will revert after reading the email","Worst","Select","Mumbai","01.High","01.High",16,18,"Email Opened",50,0
647504,"Landing Page Submission","Organic Search","No","No",0,3,658,3,"Olark Chat Conversation","India","Travel and Tourism","Select","Unemployed","Ringing","Might be","Select","Other Cities","02.Medium","02.Medium",15,14,"Modified",0,0
647449,"Landing Page Submission","Organic Search","No","No",1,4,1558,4,"Email Opened","India","Media and Advertising","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Metro Cities","02.Medium","01.High",14,17,"Email Opened",73,1
647448,"API","Organic Search","Yes","No",0,5,368,5,"Olark Chat Conversation","India","Select","Select","Unemployed","Will revert after reading the email","Not Sure","Select","Other Cities of Maharashtra","02.Medium","02.Medium",14,15,"Modified",29,0
647423,"API","Referral Sites","No","No",1,10,325,3.33,"Unreachable","India","Finance Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","02.Medium",15,16,"Unreachable",84,1
647411,"Landing Page Submission","Google","No","No",1,5,1492,5,"Email Link Clicked","India","Business Administration","Select","Unemployed","Busy","Not Sure","Select","Select","02.Medium","01.High",14,17,"Modified",28,0
647404,"Landing Page Submission","Google","No","No",1,4,1621,4,"SMS Sent","India","Business Administration","Word Of Mouth","Unemployed","Will revert after reading the email","Might be","Select","Tier II Cities","02.Medium","01.High",15,17,"SMS Sent",86,1
647398,"API","Organic Search","No","No",0,5,199,5,"Email Opened","India","Select","Select","Unemployed","Graduation in progress","Low in Relevance","Potential Lead","Mumbai","03.Low","01.High",12,17,"Email Opened",32,0
647352,"Landing Page Submission","Organic Search","No","No",0,5,190,5,"Form Submitted on Website","India","Banking, Investment And Insurance","Online Search","Unemployed","Interested in other courses","Might be","Select","Mumbai","02.Medium","01.High",13,18,"Modified",7,0
647300,"Landing Page Submission","Organic Search","Yes","No",0,2,387,2,"Email Bounced","India","Travel and Tourism","Select","Unemployed","Not doing further education","Worst","Potential Lead","Mumbai","02.Medium","01.High",15,18,"Modified",0,0
647299,"Landing Page Submission","Direct Traffic","No","No",1,2,277,2,"SMS Sent","India","Healthcare Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","02.Medium",14,15,"SMS Sent",86,1
647285,"Landing Page Submission","Organic Search","No","No",0,4,423,4,"Email Opened","India","Travel and Tourism","Select","Unemployed","Ringing","Not Sure","Select","Other Cities","02.Medium","02.Medium",15,14,"Email Opened",0,0
647279,"Landing Page Submission","Direct Traffic","No","No",0,3,1095,3,"SMS Sent","India","Finance Management","Select","Unemployed","Not doing further education","Worst","Select","Other Metro Cities","02.Medium","02.Medium",13,16,"Modified",0,0
647256,"Landing Page Submission","Direct Traffic","No","No",0,1,239,1,"Converted to Lead","India","Healthcare Management","Select","Unemployed","switched off","Not Sure","Select","Thane & Outskirts","02.Medium","02.Medium",14,14,"Modified",0,0
647212,"Landing Page Submission","Referral Sites","No","No",1,9,1524,9,"SMS Sent","India","Marketing Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",14,17,"SMS Sent",86,1
647201,"API","Direct Traffic","No","No",1,4,1839,2,"SMS Sent","India","Finance Management","Select","Unemployed","Will revert after reading the email","High in Relevance","Potential Lead","Other Cities","02.Medium","02.Medium",14,16,"SMS Sent",100,1
647199,"Landing Page Submission","Direct Traffic","No","No",0,2,918,2,"Email Link Clicked","India","IT Projects Management","Word Of Mouth","Unemployed","Ringing","Might be","Select","Mumbai","02.Medium","02.Medium",13,15,"Email Link Clicked",3,0
647177,"API","Organic Search","No","No",0,8,172,8,"Email Opened","India","Business Administration","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Other Cities","02.Medium","02.Medium",14,14,"Email Opened",67,1
647142,"Landing Page Submission","Direct Traffic","No","No",1,2,1266,2,"Converted to Lead","India","Hospitality Management","Select","Working Professional","Will revert after reading the email","High in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,17,"Modified",75,1
647127,"Landing Page Submission","Direct Traffic","No","No",0,17,682,5.67,"Email Opened","India","Marketing Management","Online Search","Unemployed","Interested in other courses","Worst","Other Leads","Other Cities","02.Medium","02.Medium",13,16,"Email Opened",11,0
647123,"Landing Page Submission","Direct Traffic","No","No",0,7,389,7,"Email Opened","India","Finance Management","Select","Unemployed","Already a student","Worst","Student of SomeSchool","Other Cities","01.High","02.Medium",16,16,"Email Opened",5,0
647113,"API","Organic Search","No","No",0,1,153,1,"Converted to Lead","India","Operations Management","Select","Working Professional","switched off","Might be","Select","Mumbai","01.High","02.Medium",16,15,"Modified",11,0
647084,"Landing Page Submission","Direct Traffic","No","No",0,2,207,2,"Email Opened","India","Select","Select","Working Professional","Already a student","Not Sure","Select","Other Cities","01.High","02.Medium",16,16,"Email Opened",23,0
647082,"Landing Page Submission","Direct Traffic","No","No",0,2,247,2,"SMS Sent","India","Human Resource Management","Select","Unemployed","Busy","Not Sure","Select","Thane & Outskirts","02.Medium","01.High",13,17,"SMS Sent",63,1
647080,"Landing Page Submission","Organic Search","No","No",0,3,107,3,"Page Visited on Website","India","Supply Chain Management","Word Of Mouth","Unemployed","Will revert after reading the email","Not Sure","Select","Mumbai","01.High","01.High",17,18,"Modified",43,0
647077,"Landing Page Submission","Direct Traffic","Yes","No",0,2,187,2,"Unsubscribed","India","Human Resource Management","Select","Unemployed","Already a student","Worst","Student of SomeSchool","Mumbai","02.Medium","01.High",13,18,"Modified",0,0
647040,"Landing Page Submission","Organic Search","No","No",1,3,149,3,"SMS Sent","India","Rural and Agribusiness","Select","Unemployed","Will revert after reading the email","Might be","Select","Tier II Cities","02.Medium","02.Medium",14,14,"SMS Sent",86,1
647039,"Landing Page Submission","Organic Search","No","No",1,4,1381,4,"Email Opened","India","Marketing Management","Select","Working Professional","Will revert after reading the email","Might be","Potential Lead","Other Cities","02.Medium","01.High",14,18,"Email Opened",78,1
646938,"Landing Page Submission","Direct Traffic","No","No",0,2,219,2,"Email Opened","India","Operations Management","Online Search","Unemployed","Interested in other courses","Might be","Student of SomeSchool","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Email Opened",10,0
646930,"Landing Page Submission","bing","No","No",0,3,138,3,"Email Opened","India","Operations Management","Select","Unemployed","Already a student","Not Sure","Select","Mumbai","02.Medium","01.High",15,18,"Email Opened",13,0
646873,"Landing Page Submission","Direct Traffic","No","No",0,3,417,3,"Email Opened","India","Banking, Investment And Insurance","Select","Unemployed","Ringing","Not Sure","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",0,0
646863,"Landing Page Submission","Direct Traffic","No","No",1,6,1445,3,"Email Opened","India","Healthcare Management","Select","Unemployed","Closed by Horizzon","High in Relevance","Potential Lead","Thane & Outskirts","02.Medium","02.Medium",14,16,"Email Opened",84,1
646858,"API","Google","No","No",0,2,419,2,"Email Opened","India","IT Projects Management","Select","Unemployed","Ringing","Not Sure","Potential Lead","Select","02.Medium","02.Medium",13,15,"Email Opened",7,0
646847,"Landing Page Submission","Direct Traffic","No","No",0,2,24,2,"SMS Sent","India","Travel and Tourism","Select","Unemployed","Already a student","Worst","Select","Other Metro Cities","02.Medium","02.Medium",15,14,"Modified",3,0
646838,"Landing Page Submission","Direct Traffic","No","No",0,2,6,2,"Email Link Clicked","India","Operations Management","Select","Unemployed","Already a student","Not Sure","Select","Other Cities","01.High","02.Medium",16,16,"Email Link Clicked",8,0
646741,"Landing Page Submission","Direct Traffic","No","No",0,2,97,2,"Email Opened","India","Supply Chain Management","Select","Unemployed","switched off","Not Sure","Select","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Email Opened",1,0
646726,"Landing Page Submission","Direct Traffic","No","No",1,8,10,4,"SMS Sent","India","IT Projects Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","02.Medium",15,15,"SMS Sent",86,1
646710,"Landing Page Submission","Direct Traffic","No","No",0,1,427,1,"Converted to Lead","India","Finance Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","01.High","01.High",16,18,"Modified",51,1
646680,"API","Organic Search","No","No",1,9,214,3,"Email Opened","India","Select","Select","Unemployed","Ringing","Not Sure","Select","Select","02.Medium","02.Medium",15,15,"Email Opened",0,0
646673,"Landing Page Submission","Direct Traffic","No","No",0,2,1497,2,"SMS Sent","India","Finance Management","Select","Unemployed","Ringing","High in Relevance","Select","Other Cities","02.Medium","02.Medium",14,16,"Modified",5,0
646652,"Landing Page Submission","Direct Traffic","No","No",0,2,1155,2,"SMS Sent","India","Finance Management","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,18,"Modified",66,1
646645,"Landing Page Submission","Direct Traffic","No","No",0,2,19,2,"Email Opened","India","Human Resource Management","Select","Unemployed","Already a student","Low in Relevance","Select","Mumbai","02.Medium","01.High",15,18,"Email Opened",27,0
646617,"Landing Page Submission","Direct Traffic","No","No",0,2,7,2,"Email Opened","India","International Business","Select","Unemployed","Interested  in full time MBA","Worst","Other Leads","Other Cities of Maharashtra","02.Medium","01.High",13,17,"Email Opened",11,0
646577,"Landing Page Submission","Google","Yes","No",0,2,104,2,"Had a Phone Conversation","India","E-COMMERCE","Word Of Mouth","Unemployed","Ringing","Not Sure","Select","Mumbai","02.Medium","02.Medium",13,15,"Modified",0,0
646574,"Landing Page Submission","Google","No","No",1,6,1040,6,"Email Opened","India","Operations Management","Student of SomeSchool","Working Professional","Will revert after reading the email","Might be","Potential Lead","Other Cities","02.Medium","01.High",14,18,"Email Opened",78,1
646570,"Landing Page Submission","Google","No","No",0,4,76,2,"Email Opened","India","Business Administration","Online Search","Unemployed","Not doing further education","Not Sure","Select","Mumbai","02.Medium","01.High",14,18,"Email Opened",10,0
646558,"Landing Page Submission","Organic Search","No","No",1,6,298,6,"SMS Sent","India","Supply Chain Management","Select","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",15,18,"SMS Sent",86,1
646534,"Landing Page Submission","Google","Yes","No",1,2,833,2,"Email Bounced","India","Retail Management","Word Of Mouth","Unemployed","Not doing further education","Not Sure","Select","Mumbai","02.Medium","01.High",14,18,"Email Bounced",1,0
646522,"Landing Page Submission","Direct Traffic","No","No",1,2,855,2,"SMS Sent","India","Supply Chain Management","Select","Working Professional","Will revert after reading the email","Might be","Select","Other Cities","02.Medium","02.Medium",14,16,"SMS Sent",96,1
646508,"API","Google","No","No",1,3,1553,3,"Olark Chat Conversation","India","Select","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","02.Medium","02.Medium",15,15,"Modified",51,1
646504,"Landing Page Submission","Organic Search","No","No",1,5,1208,5,"SMS Sent","India","Travel and Tourism","Select","Unemployed","Will revert after reading the email","Might be","Select","Other Metro Cities","02.Medium","02.Medium",14,14,"SMS Sent",86,1
646501,"API","Google","No","No",0,3,1395,1.5,"Email Opened","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Select","02.Medium","02.Medium",13,15,"Modified",7,0
646491,"API","Google","No","No",1,2,1499,1,"SMS Sent","India","Select","Select","Unemployed","Graduation in progress","Might be","Select","Select","02.Medium","02.Medium",15,15,"SMS Sent",44,0
646462,"API","Google","No","No",0,5,636,2.5,"Olark Chat Conversation","India","Human Resource Management","Student of SomeSchool","Unemployed","Graduation in progress","Worst","Select","Mumbai","01.High","02.Medium",16,15,"Modified",0,0
646451,"Landing Page Submission","Google","No","No",0,6,240,6,"Page Visited on Website","India","Finance Management","Online Search","Unemployed","Ringing","Might be","Select","Thane & Outskirts","02.Medium","01.High",15,17,"Modified",0,0
646449,"Landing Page Submission","Google","No","No",0,3,125,3,"SMS Sent","India","IT Projects Management","Other","Unemployed","Will revert after reading the email","Might be","Potential Lead","Other Metro Cities","02.Medium","02.Medium",14,13,"Modified",59,1
646448,"Landing Page Submission","Direct Traffic","No","No",0,3,184,1.5,"Email Opened","India","Select","Select","Student","Ringing","Not Sure","Select","Mumbai","03.Low","01.High",12,18,"Email Opened",0,0
646433,"API","Google","No","No",0,2,541,2,"Olark Chat Conversation","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Select","02.Medium","02.Medium",14,15,"Modified",7,0
646432,"Landing Page Submission","Direct Traffic","No","No",0,3,506,1.5,"Email Opened","India","Operations Management","Student of SomeSchool","Unemployed","Ringing","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,18,"Email Opened",22,0
646412,"API","Google","No","No",1,3,714,3,"Email Opened","India","Select","Select","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",15,17,"Email Opened",74,1
646388,"Landing Page Submission","Google","No","No",1,4,984,2,"SMS Sent","India","Finance Management","Word Of Mouth","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",15,18,"SMS Sent",86,1
646370,"Landing Page Submission","Google","No","No",0,4,28,4,"Email Opened","India","Business Administration","Online Search","Unemployed","Ringing","Not Sure","Select","Other Metro Cities","02.Medium","02.Medium",14,16,"Email Opened",0,0
